"IDX","IDX_DATETIME","ITEMCODE","LOCATION","VALUE_1"
"1","2021-01-06 13:00:00","PM10","1114000000","19"
"2","2021-01-06 13:00:00","PM10","1114052000","19"
"3","2021-01-06 13:00:00","PM10","1114054000","19"
"4","2021-01-06 13:00:00","PM10","1114055000","19"
"5","2021-01-06 13:00:00","PM10","1114057000","19"
"6","2021-01-06 13:00:00","PM10","1114058000","19"
"7","2021-01-06 13:00:00","PM10","1114059000","19"
"8","2021-01-06 13:00:00","PM10","1114060500","19"
"9","2021-01-06 13:00:00","PM10","1114061500","19"
"10","2021-01-06 13:00:00","PM10","1114062500","19"
"11","2021-01-06 13:00:00","PM10","1114063500","19"
"12","2021-01-06 13:00:00","PM10","1114064500","19"
"13","2021-01-06 13:00:00","PM10","1114065000","19"
"14","2021-01-06 13:00:00","PM10","1114066500","19"
"15","2021-01-06 13:00:00","PM10","1114067000","19"
"16","2021-01-06 13:00:00","PM10","1114068000","19"
"17","2021-01-06 13:00:00","PM10","2611000000","19"
"18","2021-01-06 13:00:00","PM10","2611051000","19"
"19","2021-01-06 13:00:00","PM10","2611052000","19"
"20","2021-01-06 13:00:00","PM10","2611053000","19"
"21","2021-01-06 13:00:00","PM10","2611054500","19"
"22","2021-01-06 13:00:00","PM10","2611056000","19"
"23","2021-01-06 13:00:00","PM10","2611057000","19"
"24","2021-01-06 13:00:00","PM10","2611058000","19"
"25","2021-01-06 13:00:00","PM10","2611059000","19"
"26","2021-01-06 13:00:00","PM10","2611060000","19"
"27","2021-01-06 13:00:00","PM10","2711000000","19"
"28","2021-01-06 13:00:00","PM10","2711051700","19"
"29","2021-01-06 13:00:00","PM10","2711054500","19"
"30","2021-01-06 13:00:00","PM10","2711056500","19"
"31","2021-01-06 13:00:00","PM10","2711057500","19"
"32","2021-01-06 13:00:00","PM10","2711058500","19"
"33","2021-01-06 13:00:00","PM10","2711059500","19"
"34","2021-01-06 13:00:00","PM10","2711064000","19"
"35","2021-01-06 13:00:00","PM10","2711065000","19"
"36","2021-01-06 13:00:00","PM10","2711066000","19"
"37","2021-01-06 13:00:00","PM10","2711067000","19"
"38","2021-01-06 13:00:00","PM10","2711068000","19"
"39","2021-01-06 13:00:00","PM10","2711069000","19"
"40","2021-01-06 13:00:00","PM10","2811000000","19"
"41","2021-01-06 13:00:00","PM10","2811052000","19"
"42","2021-01-06 13:00:00","PM10","2811053000","19"
"43","2021-01-06 13:00:00","PM10","2811054000","19"
"44","2021-01-06 13:00:00","PM10","2811056000","19"
"45","2021-01-06 13:00:00","PM10","2811057000","19"
"46","2021-01-06 13:00:00","PM10","2811058500","19"
