"IDX","IDX_DATETIME","DATA_GUBUN","LOCATION","GATHER_INFO","VALUE_1","VALUE_2","VALUE_3"
"1","2021-01-06 13:00:00","T,H","1100000000",,"30","-5","0"
"2","2021-01-06 13:00:00","T,H","1111000000",,"30","-5","0"
"3","2021-01-06 13:00:00","T,H","1111051500",,"30","-5","0"
"4","2021-01-06 13:00:00","T,H","1111053000",,"30","-5","0"
"5","2021-01-06 13:00:00","T,H","1111054000",,"30","-5","0"
"6","2021-01-06 13:00:00","T,H","1111055000",,"30","-5","0"
"7","2021-01-06 13:00:00","T,H","1111056000",,"30","-5","0"
"8","2021-01-06 13:00:00","T,H","1111057000",,"30","-5","0"
"9","2021-01-06 13:00:00","T,H","1111058000",,"30","-5","0"
"10","2021-01-06 13:00:00","T,H","1111060000",,"30","-5","0"
"11","2021-01-06 13:00:00","T,H","1111061500",,"30","-5","0"
"12","2021-01-06 13:00:00","T,H","1111063000",,"30","-5","0"
"13","2021-01-06 13:00:00","T,H","1111064000",,"30","-5","0"
"14","2021-01-06 13:00:00","T,H","1111065000",,"30","-5","0"
"15","2021-01-06 13:00:00","T,H","1111068000",,"30","-5","0"
"16","2021-01-06 13:00:00","T,H","1111069000",,"30","-5","0"
"17","2021-01-06 13:00:00","T,H","1111070000",,"30","-5","0"
"18","2021-01-06 13:00:00","T,H","1114000000",,"30","-5","0"
"19","2021-01-06 13:00:00","T,H","1114052000",,"30","-5","0"
"20","2021-01-06 13:00:00","T,H","1114055000",,"30","-5","0"
"21","2021-01-06 13:00:00","T,H","1114057000",,"30","-5","0"
"22","2021-01-06 13:00:00","T,H","1114058000",,"30","-5","0"
"23","2021-01-06 13:00:00","T,H","1114059000",,"30","-5","0"
"24","2021-01-06 13:00:00","T,H","1114060500",,"30","-5","0"
"25","2021-01-06 13:00:00","T,H","1114061500",,"30","-5","0"
"26","2021-01-06 13:00:00","T,H","1129052500",,"30","-5","0"
"27","2021-01-06 13:00:00","T,H","1129055500",,"30","-5","0"
"28","2021-01-06 13:00:00","T,H","1129059000",,"30","-5","0"
"29","2021-01-06 13:00:00","T,H","1129062000",,"30","-5","0"
"30","2021-01-06 13:00:00","T,H","1129063000",,"30","-5","0"
"31","2021-01-06 13:00:00","T,H","1141052000",,"30","-5","0"
"32","2021-01-06 13:00:00","T,H","1111067000",,"28","-3","0"
"33","2021-01-06 13:00:00","T,H","1111071000",,"28","-3","0"
"34","2021-01-06 13:00:00","T,H","1114065000",,"28","-3","0"
"35","2021-01-06 13:00:00","T,H","1114066500",,"28","-3","0"
"36","2021-01-06 13:00:00","T,H","1114067000",,"28","-3","0"
"37","2021-01-06 13:00:00","T,H","1120000000",,"28","-3","0"
"38","2021-01-06 13:00:00","T,H","1120052000",,"28","-3","0"
"39","2021-01-06 13:00:00","T,H","1120053500",,"28","-3","0"
"40","2021-01-06 13:00:00","T,H","1120054000",,"28","-3","0"
"41","2021-01-06 13:00:00","T,H","1120055000",,"28","-3","0"
"42","2021-01-06 13:00:00","T,H","1120079000",,"28","-3","0"
"43","2021-01-06 13:00:00","T,H","1123000000",,"28","-3","0"
"44","2021-01-06 13:00:00","T,H","1123053600",,"28","-3","0"
"45","2021-01-06 13:00:00","T,H","1123054500",,"28","-3","0"
"46","2021-01-06 13:00:00","T,H","1123056000",,"28","-3","0"
"47","2021-01-06 13:00:00","T,H","1123057000",,"28","-3","0"
"48","2021-01-06 13:00:00","T,H","1123060000",,"28","-3","0"
"49","2021-01-06 13:00:00","T,H","1123061000",,"28","-3","0"
"50","2021-01-06 13:00:00","T,H","1123065000",,"28","-3","0"
"51","2021-01-06 13:00:00","T,H","1123066000",,"28","-3","0"
"52","2021-01-06 13:00:00","T,H","1123070500",,"28","-3","0"
"53","2021-01-06 13:00:00","T,H","1123071000",,"28","-3","0"
"54","2021-01-06 13:00:00","T,H","1123072000",,"28","-3","0"
"55","2021-01-06 13:00:00","T,H","1123073000",,"28","-3","0"
"56","2021-01-06 13:00:00","T,H","1123074000",,"28","-3","0"
"57","2021-01-06 13:00:00","T,H","1123075000",,"28","-3","0"
"58","2021-01-06 13:00:00","T,H","1129000000",,"28","-3","0"
"59","2021-01-06 13:00:00","T,H","1129057500",,"28","-3","0"
"60","2021-01-06 13:00:00","T,H","1129058000",,"28","-3","0"
"61","2021-01-06 13:00:00","T,H","1129060000",,"28","-3","0"
"62","2021-01-06 13:00:00","T,H","1129061000",,"28","-3","0"
"63","2021-01-06 13:00:00","T,H","1129066000",,"28","-3","0"
"64","2021-01-06 13:00:00","T,H","1129070500",,"28","-3","0"
"65","2021-01-06 13:00:00","T,H","1129072500",,"28","-3","0"
"66","2021-01-06 13:00:00","T,H","1114054000",,"30","-4","0"
"67","2021-01-06 13:00:00","T,H","1114062500",,"30","-4","0"
"68","2021-01-06 13:00:00","T,H","1114063500",,"30","-4","0"
"69","2021-01-06 13:00:00","T,H","1114064500",,"30","-4","0"
"70","2021-01-06 13:00:00","T,H","1114068000",,"30","-4","0"
"71","2021-01-06 13:00:00","T,H","1117000000",,"30","-4","0"
"72","2021-01-06 13:00:00","T,H","1117051000",,"30","-4","0"
"73","2021-01-06 13:00:00","T,H","1117052000",,"30","-4","0"
"74","2021-01-06 13:00:00","T,H","1117053000",,"30","-4","0"
"75","2021-01-06 13:00:00","T,H","1117055500",,"30","-4","0"
"76","2021-01-06 13:00:00","T,H","1117056000",,"30","-4","0"
"77","2021-01-06 13:00:00","T,H","1117058000",,"30","-4","0"
"78","2021-01-06 13:00:00","T,H","1117059000",,"30","-4","0"
"79","2021-01-06 13:00:00","T,H","1117062500",,"30","-4","0"
"80","2021-01-06 13:00:00","T,H","1117063000",,"30","-4","0"
"81","2021-01-06 13:00:00","T,H","1117065000",,"30","-4","0"
"82","2021-01-06 13:00:00","T,H","1117066000",,"30","-4","0"
"83","2021-01-06 13:00:00","T,H","1117068500",,"30","-4","0"
"84","2021-01-06 13:00:00","T,H","1117069000",,"30","-4","0"
"85","2021-01-06 13:00:00","T,H","1117070000",,"30","-4","0"
"86","2021-01-06 13:00:00","T,H","1120064500",,"30","-4","0"
"87","2021-01-06 13:00:00","T,H","1144056500",,"30","-4","0"
"88","2021-01-06 13:00:00","T,H","1165054000",,"30","-4","0"
"89","2021-01-06 13:00:00","T,H","1117057000",,"31","-5","0"
"90","2021-01-06 13:00:00","T,H","1117064000",,"31","-5","0"
"91","2021-01-06 13:00:00","T,H","1141055500",,"31","-5","0"
"92","2021-01-06 13:00:00","T,H","1141058500",,"31","-5","0"
"93","2021-01-06 13:00:00","T,H","1144055500",,"31","-5","0"
"94","2021-01-06 13:00:00","T,H","1144058500",,"31","-5","0"
"95","2021-01-06 13:00:00","T,H","1144059000",,"31","-5","0"
"96","2021-01-06 13:00:00","T,H","1144060000",,"31","-5","0"
"97","2021-01-06 13:00:00","T,H","1144061000",,"31","-5","0"
"98","2021-01-06 13:00:00","T,H","1144063000",,"31","-5","0"
"99","2021-01-06 13:00:00","T,H","1144065500",,"31","-5","0"
"100","2021-01-06 13:00:00","T,H","1144066000",,"31","-5","0"
"101","2021-01-06 13:00:00","T,H","1144068000",,"31","-5","0"
"102","2021-01-06 13:00:00","T,H","1144069000",,"31","-5","0"
"103","2021-01-06 13:00:00","T,H","1144070000",,"31","-5","0"
"104","2021-01-06 13:00:00","T,H","1156051500",,"31","-5","0"
"105","2021-01-06 13:00:00","T,H","1156053500",,"31","-5","0"
"106","2021-01-06 13:00:00","T,H","1156054000",,"31","-5","0"
"107","2021-01-06 13:00:00","T,H","1156056000",,"31","-5","0"
"108","2021-01-06 13:00:00","T,H","1156060500",,"31","-5","0"
"109","2021-01-06 13:00:00","T,H","1120056000",,"33","-4","0"
"110","2021-01-06 13:00:00","T,H","1120057000",,"33","-4","0"
"111","2021-01-06 13:00:00","T,H","1120058000",,"33","-4","0"
"112","2021-01-06 13:00:00","T,H","1120059000",,"33","-4","0"
"113","2021-01-06 13:00:00","T,H","1120061500",,"33","-4","0"
"114","2021-01-06 13:00:00","T,H","1120062000",,"33","-4","0"
"115","2021-01-06 13:00:00","T,H","1120065000",,"33","-4","0"
"116","2021-01-06 13:00:00","T,H","1120066000",,"33","-4","0"
"117","2021-01-06 13:00:00","T,H","1120067000",,"33","-4","0"
"118","2021-01-06 13:00:00","T,H","1120069000",,"33","-4","0"
"119","2021-01-06 13:00:00","T,H","1120072000",,"33","-4","0"
"120","2021-01-06 13:00:00","T,H","1121571000",,"33","-4","0"
"121","2021-01-06 13:00:00","T,H","1121584000",,"33","-4","0"
"122","2021-01-06 13:00:00","T,H","1121584700",,"33","-4","0"
"123","2021-01-06 13:00:00","T,H","1168000000",,"33","-4","0"
"124","2021-01-06 13:00:00","T,H","1168051000",,"33","-4","0"
"125","2021-01-06 13:00:00","T,H","1168053100",,"33","-4","0"
"126","2021-01-06 13:00:00","T,H","1168054500",,"33","-4","0"
"127","2021-01-06 13:00:00","T,H","1168056500",,"33","-4","0"
"128","2021-01-06 13:00:00","T,H","1121500000",,"23","-3","0"
"129","2021-01-06 13:00:00","T,H","1121573000",,"23","-3","0"
"130","2021-01-06 13:00:00","T,H","1121578000",,"23","-3","0"
